smiles,dielectric_constant,band_gap_eV,Tg_K,monomer,reaction_type,temperature_K,solvent,reaction_time_hours,source,SMILES
[*]C(=O)c1ccc(C16H32O10Sn2)cc1[*],5.492,4.6797,394.0,O=C(O)c1ccc(C16H32O10Sn2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H32O10Sn2)cc1[*]
[*]C(=O)c1ccc(C28H20O8Sn2)cc1[*],5.3809,2.8207,438.4,O=C(O)c1ccc(C28H20O8Sn2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C28H20O8Sn2)cc1[*]
[*]C(=O)c1ccc(C15H28O4Ti)cc1[*],4.3026,3.1091,397.7,O=C(O)c1ccc(C15H28O4Ti)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C15H28O4Ti)cc1[*]
[*]C(=O)c1ccc(C9H16O4Sn)cc1[*],5.2507,6.0602,376.7,O=C(O)c1ccc(C9H16O4Sn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C9H16O4Sn)cc1[*]
[*]C(=O)c1ccc(C16H10N2O4)cc1[*],4.9187,3.289,411.2,O=C(O)c1ccc(C16H10N2O4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C16H10N2O4)cc1[*]
[*]C(=O)c1ccc(C40H52O10Sn4)cc1[*],4.5021,4.8051,478.0,O=C(O)c1ccc(C40H52O10Sn4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C40H52O10Sn4)cc1[*]
[*]C(=O)c1ccc(C11H20O4Ti)cc1[*],5.8673,3.0759,383.7,O=C(O)c1ccc(C11H20O4Ti)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C11H20O4Ti)cc1[*]
[*]C(=O)c1ccc(C3H4O6Sn)cc1[*],6.096,4.781,353.3,O=C(O)c1ccc(C3H4O6Sn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C3H4O6Sn)cc1[*]
[*]C(=O)c1ccc(C18H18N2O8Sn2)cc1[*],5.4937,3.9152,413.4,O=C(O)c1ccc(C18H18N2O8Sn2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C18H18N2O8Sn2)cc1[*]
[*]C(=O)c1ccc(C10H10N2O2S2)cc1[*],4.1891,3.6125,392.6,O=C(O)c1ccc(C10H10N2O2S2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C10H10N2O2S2)cc1[*]
[*]C(=O)c1ccc(C7H4OS2)cc1[*],4.818,2.1804,373.3,O=C(O)c1ccc(C7H4OS2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C7H4OS2)cc1[*]
[*]C(=O)c1ccc(C3H2CdO4)cc1[*],14.3829,5.0341,355.7,O=C(O)c1ccc(C3H2CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C3H2CdO4)cc1[*]
[*]C(=O)c1ccc(C6H8HfO4)cc1[*],7.7768,2.173,366.2,O=C(O)c1ccc(C6H8HfO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H8HfO4)cc1[*]
[*]C(=O)c1ccc(C16H12O4)cc1[*],4.1559,3.8893,401.2,O=C(O)c1ccc(C16H12O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H12O4)cc1[*]
[*]C(=O)c1ccc(C8H12O4Pb)cc1[*],7.8981,3.8039,373.2,O=C(O)c1ccc(C8H12O4Pb)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C8H12O4Pb)cc1[*]
[*]C(=O)c1ccc(C12H20O4Pb)cc1[*],15.7683,5.0355,387.2,O=C(O)c1ccc(C12H20O4Pb)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H20O4Pb)cc1[*]
[*]C(=O)c1ccc(C6H6N2O2S2)cc1[*],5.3857,2.3654,378.6,O=C(O)c1ccc(C6H6N2O2S2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C6H6N2O2S2)cc1[*]
[*]C(=O)c1ccc(C22H42)cc1[*],2.7806,5.8128,427.0,O=C(O)c1ccc(C22H42)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C22H42)cc1[*]
[*]C(=O)c1ccc(C6H10N2O2)cc1[*],3.5246,3.6121,378.6,O=C(O)c1ccc(C6H10N2O2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C6H10N2O2)cc1[*]
[*]C(=O)c1ccc(C30H46)cc1[*],2.853,5.2093,455.0,O=C(O)c1ccc(C30H46)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C30H46)cc1[*]
[*]C(=O)c1ccc(C6H10N2S2)cc1[*],3.8344,2.6614,381.0,O=C(O)c1ccc(C6H10N2S2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C6H10N2S2)cc1[*]
[*]C(=O)c1ccc(C12H10N2S4)cc1[*],4.4544,2.7289,402.0,O=C(O)c1ccc(C12H10N2S4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C12H10N2S4)cc1[*]
[*]C(=O)c1ccc(C12H20O4Pb)cc1[*],12.9642,4.5606,387.2,O=C(O)c1ccc(C12H20O4Pb)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H20O4Pb)cc1[*]
[*]C(=O)c1ccc(C8H12O4Pb)cc1[*],7.8153,3.7826,373.2,O=C(O)c1ccc(C8H12O4Pb)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C8H12O4Pb)cc1[*]
[*]C(=O)c1ccc(C6H8HfO4)cc1[*],6.6332,3.3548,366.2,O=C(O)c1ccc(C6H8HfO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H8HfO4)cc1[*]
[*]C(=O)c1ccc(C9H6OS)cc1[*],12.8907,2.4669,380.3,O=C(O)c1ccc(C9H6OS)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C9H6OS)cc1[*]
[*]C(=O)c1ccc(C6H8O4)cc1[*],3.6296,4.6507,366.2,O=C(O)c1ccc(C6H8O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H8O4)cc1[*]
[*]C(=O)c1ccc(C3H2CdO4)cc1[*],7.9271,5.5719,355.7,O=C(O)c1ccc(C3H2CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C3H2CdO4)cc1[*]
[*]C(=O)c1ccc(C10H12N4S2)cc1[*],4.1944,3.5157,405.0,O=C(O)c1ccc(C10H12N4S2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C10H12N4S2)cc1[*]
[*]C(=O)c1ccc(C18H18N2O8Sn2)cc1[*],5.2781,4.5398,413.4,O=C(O)c1ccc(C18H18N2O8Sn2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C18H18N2O8Sn2)cc1[*]
[*]C(=O)c1ccc(C5H8O6Sn)cc1[*],5.549,5.301,360.3,O=C(O)c1ccc(C5H8O6Sn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H8O6Sn)cc1[*]
[*]C(=O)c1ccc(C44H64O8Sn4)cc1[*],4.2976,4.924,494.4,O=C(O)c1ccc(C44H64O8Sn4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C44H64O8Sn4)cc1[*]
[*]C(=O)c1ccc(C14H12N4O2)cc1[*],4.7078,3.4085,416.6,O=C(O)c1ccc(C14H12N4O2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C14H12N4O2)cc1[*]
[*]C(=O)c1ccc(C10H18O4Ti)cc1[*],5.5664,2.9571,380.2,O=C(O)c1ccc(C10H18O4Ti)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C10H18O4Ti)cc1[*]
[*]C(=O)c1ccc(C14H26O4Ti)cc1[*],4.3527,3.2458,394.2,O=C(O)c1ccc(C14H26O4Ti)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C14H26O4Ti)cc1[*]
[*]C(=O)c1ccc(C8H14O4Sn)cc1[*],4.3325,6.3497,373.2,O=C(O)c1ccc(C8H14O4Sn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C8H14O4Sn)cc1[*]
[*]C(=O)c1ccc(C40H40O16Sn4)cc1[*],4.8109,4.659,470.8,O=C(O)c1ccc(C40H40O16Sn4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C40H40O16Sn4)cc1[*]
[*]C(=O)c1ccc(C11H20O6Sn)cc1[*],4.4842,5.1429,381.3,O=C(O)c1ccc(C11H20O6Sn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C11H20O6Sn)cc1[*]
[*]C(=O)c1ccc(C48H52O6Sn2)cc1[*],3.6552,4.8301,510.8,O=C(O)c1ccc(C48H52O6Sn2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C48H52O6Sn2)cc1[*]
[*]C(=O)c1ccc(C5H6O4Zr)cc1[*],9.1306,2.3152,362.7,O=C(O)c1ccc(C5H6O4Zr)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H6O4Zr)cc1[*]
[*]C(=O)c1ccc(C6H4Mg2O8)cc1[*],5.8316,4.0558,361.4,O=C(O)c1ccc(C6H4Mg2O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H4Mg2O8)cc1[*]
[*]C(=O)c1ccc(C28H16O4)cc1[*],4.5825,2.9556,443.2,O=C(O)c1ccc(C28H16O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C28H16O4)cc1[*]
[*]C(=O)c1ccc(C10H16O4Zn)cc1[*],13.7544,5.551,380.2,O=C(O)c1ccc(C10H16O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C10H16O4Zn)cc1[*]
[*]C(=O)c1ccc(C9H14O4Zn)cc1[*],7.3087,5.9743,376.7,O=C(O)c1ccc(C9H14O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C9H14O4Zn)cc1[*]
[*]C(=O)c1ccc(C11H6O2S)cc1[*],4.8393,2.7538,386.1,O=C(O)c1ccc(C11H6O2S)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C11H6O2S)cc1[*]
[*]C(=O)c1ccc(C12H20O4Zn)cc1[*],6.5607,6.2443,387.2,O=C(O)c1ccc(C12H20O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H20O4Zn)cc1[*]
[*]C(=O)c1ccc(C12H24F4Sn2)cc1[*],4.8918,5.6525,392.0,O=C(O)c1ccc(C12H24F4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C12H24F4Sn2)cc1[*]
[*]C(=O)c1ccc(C20H12O16)cc1[*],4.1908,4.0501,400.8,O=C(O)c1ccc(C20H12O16)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C20H12O16)cc1[*]
[*]C(=O)c1ccc(C8H16F4Sn2)cc1[*],5.8087,5.345,378.0,O=C(O)c1ccc(C8H16F4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C8H16F4Sn2)cc1[*]
[*]C(=O)c1ccc(C6H8O4)cc1[*],3.7147,4.2374,366.2,O=C(O)c1ccc(C6H8O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H8O4)cc1[*]
[*]C(=O)c1ccc(C22H20O4)cc1[*],3.6952,3.1047,422.2,O=C(O)c1ccc(C22H20O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C22H20O4)cc1[*]
[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*],7.3948,2.7798,364.0,O=C(O)c1ccc(C4H8Cl4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*]
[*]C(=O)c1ccc(C6H6N2)cc1[*],3.2341,7.5803,381.0,O=C(O)c1ccc(C6H6N2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C6H6N2)cc1[*]
[*]C(=O)c1ccc(C8H8F8)cc1[*],3.2646,9.3638,378.0,O=C(O)c1ccc(C8H8F8)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C8H8F8)cc1[*]
[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*],34.9137,2.8296,364.0,O=C(O)c1ccc(C4H8Cl4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*]
[*]C(=O)c1ccc(C20H40S4)cc1[*],3.0072,4.989,420.0,O=C(O)c1ccc(C20H40S4)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C20H40S4)cc1[*]
[*]C(=O)c1ccc(C4H8F4Sn2)cc1[*],12.4542,4.1872,364.0,O=C(O)c1ccc(C4H8F4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C4H8F4Sn2)cc1[*]
[*]C(=O)c1ccc(C14H10N2O2)cc1[*],4.4546,3.2399,406.6,O=C(O)c1ccc(C14H10N2O2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C14H10N2O2)cc1[*]
[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*],8.683,2.4427,364.0,O=C(O)c1ccc(C4H8Cl4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*]
[*]C(=O)c1ccc(C10H10O6)cc1[*],3.7963,4.3683,377.8,O=C(O)c1ccc(C10H10O6)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C10H10O6)cc1[*]
[*]C(=O)c1ccc(C12H20CdO4)cc1[*],12.4915,5.0776,387.2,O=C(O)c1ccc(C12H20CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H20CdO4)cc1[*]
[*]C(=O)c1ccc(C24H48)cc1[*],2.6215,7.3664,434.0,O=C(O)c1ccc(C24H48)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C24H48)cc1[*]
[*]C(=O)c1ccc(C20H20O6)cc1[*],4.5862,2.8359,412.8,O=C(O)c1ccc(C20H20O6)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C20H20O6)cc1[*]
[*]C(=O)c1ccc(C10H18O4)cc1[*],2.9938,4.6457,380.2,O=C(O)c1ccc(C10H18O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C10H18O4)cc1[*]
[*]C(=O)c1ccc(C6H8O4PbS)cc1[*],7.2123,4.3895,366.2,O=C(O)c1ccc(C6H8O4PbS)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H8O4PbS)cc1[*]
[*]C(=O)c1ccc(C12H24F4Sn2)cc1[*],5.1657,5.5757,392.0,O=C(O)c1ccc(C12H24F4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C12H24F4Sn2)cc1[*]
[*]C(=O)c1ccc(C12H4O6S2)cc1[*],4.6175,3.202,384.8,O=C(O)c1ccc(C12H4O6S2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H4O6S2)cc1[*]
[*]C(=O)c1ccc(C11H18O4Zn)cc1[*],6.6593,6.0276,383.7,O=C(O)c1ccc(C11H18O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C11H18O4Zn)cc1[*]
[*]C(=O)c1ccc(C13H8O2)cc1[*],4.1374,3.0847,393.1,O=C(O)c1ccc(C13H8O2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C13H8O2)cc1[*]
[*]C(=O)c1ccc(C17H10OS)cc1[*],5.8125,1.7624,408.3,O=C(O)c1ccc(C17H10OS)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C17H10OS)cc1[*]
[*]C(=O)c1ccc(C9H14O4Zn)cc1[*],4.0227,6.4146,376.7,O=C(O)c1ccc(C9H14O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C9H14O4Zn)cc1[*]
[*]C(=O)c1ccc(C5H6O4Zr)cc1[*],10.1122,2.326,362.7,O=C(O)c1ccc(C5H6O4Zr)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H6O4Zr)cc1[*]
[*]C(=O)c1ccc(C6H4Mg2O8)cc1[*],5.4426,5.9727,361.4,O=C(O)c1ccc(C6H4Mg2O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H4Mg2O8)cc1[*]
[*]C(=O)c1ccc(C10H18O4Sn)cc1[*],5.2691,5.635,380.2,O=C(O)c1ccc(C10H18O4Sn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C10H18O4Sn)cc1[*]
[*]C(=O)c1ccc(C16H8O8Sn2)cc1[*],6.2856,3.8982,396.4,O=C(O)c1ccc(C16H8O8Sn2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H8O8Sn2)cc1[*]
[*]C(=O)c1ccc(C16H48O8Sn4)cc1[*],12.0429,5.0952,396.4,O=C(O)c1ccc(C16H48O8Sn4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H48O8Sn4)cc1[*]
[*]C(=O)c1ccc(C12H22O4Ti)cc1[*],4.9905,3.1624,387.2,O=C(O)c1ccc(C12H22O4Ti)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H22O4Ti)cc1[*]
[*]C(=O)c1ccc(C16H10N2O4)cc1[*],5.2629,3.3014,411.2,O=C(O)c1ccc(C16H10N2O4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C16H10N2O4)cc1[*]
[*]C(=O)c1ccc(C5H8O4Sn)cc1[*],4.7988,6.0867,362.7,O=C(O)c1ccc(C5H8O4Sn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H8O4Sn)cc1[*]
[*]C(=O)c1ccc(C4H6O4Ti)cc1[*],6.7655,2.8871,359.2,O=C(O)c1ccc(C4H6O4Ti)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C4H6O4Ti)cc1[*]
[*]C(=O)c1ccc(C16H16O8S2Sn2)cc1[*],8.5421,3.7985,396.4,O=C(O)c1ccc(C16H16O8S2Sn2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H16O8S2Sn2)cc1[*]
[*]C(=O)c1ccc(C7H12O6Sn)cc1[*],6.4796,5.1648,367.3,O=C(O)c1ccc(C7H12O6Sn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C7H12O6Sn)cc1[*]
[*]C(=O)c1ccc(C7H10O4Zr)cc1[*],6.1694,4.4915,369.7,O=C(O)c1ccc(C7H10O4Zr)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C7H10O4Zr)cc1[*]
[*]C(=O)c1ccc(C7H6OS)cc1[*],3.6115,3.7852,373.3,O=C(O)c1ccc(C7H6OS)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C7H6OS)cc1[*]
[*]C(=O)c1ccc(C6H8HfO4)cc1[*],7.5495,3.3793,366.2,O=C(O)c1ccc(C6H8HfO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H8HfO4)cc1[*]
